,Sparklines,rowSum,order_pearson_average,WG_SEC_0-40_12a_122021,WG_SEC_0-40_13a_122021,WG_SEC_0-40_14a_122021,WG_SEC_0-40_15a_122021,WG_SEC_0-40_16a_122021,WG_SEC_0-40_17a_122021,WG_SEC_0-40_18a_122021,WG_SEC_0-40_19a_122021,WG_SEC_0-40_20a_122021,WG_SEC_0-40_21a_122021,WG_SEC_0-40_22a_122021,WG_SEC_0-40_23a_122021,WG_SEC_0-40_24a_122021,WG_SEC_0-40_25a_122021,WG_SEC_0-40_26a_122021,WG_SEC_0-40_27a_122021,WG_SEC_0-40_28a_122021,WG_SEC_0-40_29a_122021,WG_SEC_0-40_30a_122021,WG_SEC_0-40_31a_122021,WG_SEC_0-40_32a_122021,WG_SEC_0-40_33a_122021,WG_SEC_0-40_34a_122021,WG_SEC_0-40_35a_122021,WG_SEC_0-40_36a_122021,WG_SEC_0-40_37a_122021,WG_SEC_0-40_38a_122021,WG_SEC_0-40_39a_122021,WG_SEC_0-40_40a_122021,WG_SEC_0-40_41a_122021,WG_SEC_0-40_42a_122021,WG_SEC_0-40_43a_122021,WG_SEC_0-40_44a_122021,WG_SEC_0-40_45a_122021,WG_SEC_0-40_46a_122021,WG_SEC_0-40_47a_122021,WG_SEC_0-40_48a_122021,WG_SEC_0-40_49a_122021,WG_SEC_0-40_50a_122021,WG_SEC_0-40_51a_122021,WG_SEC_0-40_52a_122021,WG_SEC_0-40_53a_122021,WG_SEC_0-40_54a_122021,WG_SEC_0-40_55a_122021,WG_SEC_0-40_56a_122021,WG_SEC_0-40_57a_122021,WG_SEC_0-40_58a_122021,WG_SEC_0-40_59a_122021,WG_SEC_0-40_60a_122021,WG_SEC_0-40_61a_122021,WG_SEC_0-40_62a_122021
tr|A0A3B6MR16|A0A3B6MR16_WHEAT,,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|A0A3B6NJJ1|A0A3B6NJJ1_WHEAT,,3,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|A0A3B6KBY2|A0A3B6KBY2_WHEAT,,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|A0A3B6I352|A0A3B6I352_WHEAT,,2,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|A0A3B6MWB8|A0A3B6MWB8_WHEAT,,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|A0A3B6TR43|A0A3B6TR43_WHEAT,,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|A0A3B6TLC5|A0A3B6TLC5_WHEAT,,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|A0A3B6PTG0|A0A3B6PTG0_WHEAT,,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|A0A3B6PT85|A0A3B6PT85_WHEAT,,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|A0A3B6NMM8|A0A3B6NMM8_WHEAT,,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|A0A3B6LZ37|A0A3B6LZ37_WHEAT,,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tr|A0A3B6LVB5|A0A3B6LVB5_WHEAT,,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
